// Mine harvesting information
//
// (see farm.dat for the rules)
//
{ "ocean"
   "normal"     "metal" "0" "trace" "3" "@"
   "city"       "metal" "0" "trace" "3" "@"
   "ice"        "metal" "0" "trace" "3" "@"
   "jungle"     "metal" "0" "trace" "3" "@"
   "barren"     "metal" "0" "trace" "3" "@"
}
{ "grass"
   "normal"     "metal" "0" "@"
   "city"       "metal" "0" "@"
   "ice"        "metal" "0" "@"
   "jungle"     "metal" "0" "@"
   "barren"     "metal" "0" "@"
}
{ "arid grass"
   "normal"     "metal" "0" "trace" "3" "@"
   "city"       "metal" "0" "trace" "3" "@"
   "ice"        "metal" "0" "trace" "3" "@"
   "jungle"     "metal" "0" "trace" "3" "@"
   "barren"     "metal" "0" "trace" "3" "@"
}
{ "desert"  
   "normal"     "metal" "0" "trace" "1" "@"
   "city"       "metal" "0" "trace" "1" "@"
   "ice"        "metal" "0" "trace" "1" "@"
   "jungle"     "metal" "0" "trace" "1" "@"
   "barren"     "metal" "0" "trace" "1" "@"
}
{ "ice"
   "normal"     "metal" "0" "@"
   "city"       "metal" "0" "@"
   "ice"        "metal" "0" "@"
   "jungle"     "metal" "0" "@"
   "barren"     "metal" "0" "@"
}
{ "tundra"
   "normal"     "metal" "0" "@"
   "city"       "metal" "0" "@"
   "ice"        "metal" "0" "@"
   "jungle"     "metal" "0" "@"
   "barren"     "metal" "0" "@"
}
{ "mountain"
   "normal"     "metal" "10" "trace" "5" "gems" "1" "@"
   "city"       "metal" "0" "@"
   "ice"        "metal" "10" "trace" "5" "gems" "1" "@"
   "jungle"     "metal" "10" "trace" "5" "gems" "1" "@"
   "barren"     "metal" "10" "trace" "5" "gems" "1" "@"
}
{ "hill"
   "normal"     "metal" "5" "trace" "3" "gems" "1" "@"
   "city"       "metal" "5" "trace" "3" "gems" "1" "@"
   "ice"        "metal" "5" "trace" "3" "gems" "1" "@"
   "jungle"     "metal" "5" "trace" "3" "gems" "1" "@"
   "barren"     "metal" "5" "trace" "3" "gems" "1" "@"
}
{ "tree"
   "normal"     "metal" "0" "@"
   "city"       "metal" "0" "@"
   "ice"        "metal" "0" "@"
   "jungle"     "metal" "0" "@"
   "barren"     "metal" "0" "@"
}
{ "river"
   "normal"     "metal" "0" "trace" "3" "gems" "1" "@"
   "city"       "metal" "0" "trace" "3" "gems" "1" "@"
   "ice"        "metal" "0" "trace" "3" "gems" "1" "@"
   "jungle"     "metal" "0" "trace" "3" "gems" "1" "@"
   "barren"     "metal" "0" "trace" "3" "gems" "1" "@"
}
{ "delta"
   "normal"     "metal" "0" "trace" "3" "gems" "1" "@"
   "city"       "metal" "0" "trace" "3" "gems" "1" "@"
   "ice"        "metal" "0" "trace" "3" "gems" "1" "@"
   "jungle"     "metal" "0" "trace" "3" "gems" "1" "@"
   "barren"     "metal" "0" "trace" "3" "gems" "1" "@"
}
